name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Atlanta Hawks,1610612737,ATL,Teague,Jeff,201952,0,G,75,15.7,5.9,2.7
Atlanta Hawks,1610612737,ATL,Millsap,Paul,200794,4,F,79,17.1,3.3,9.0
Atlanta Hawks,1610612737,ATL,Mack,Shelvin,202714,8,G,75,3.9,1.6,0.9
Atlanta Hawks,1610612737,ATL,Hardaway Jr.,Tim,203501,10,G,77,6.4,1.0,1.7
Atlanta Hawks,1610612737,ATL,Splitter,Tiago,201168,11,C-F,83,5.6,0.8,3.3
Atlanta Hawks,1610612737,ATL,Patterson,Lamar,203934,13,G-F,77,2.4,1.1,1.4
Atlanta Hawks,1610612737,ATL,Horford,Al,201143,15,C-F,81,15.2,3.2,7.3
Atlanta Hawks,1610612737,ATL,Schroder,Dennis,203471,17,G,73,11.0,4.4,2.6
Atlanta Hawks,1610612737,ATL,Bazemore,Kent,203145,24,F-G,76,11.6,2.3,5.1
Atlanta Hawks,1610612737,ATL,Sefolosha,Thabo,200757,25,F,78,6.4,1.4,4.5
Atlanta Hawks,1610612737,ATL,Korver,Kyle,2594,26,G,79,9.2,2.1,3.3
Atlanta Hawks,1610612737,ATL,Muscala,Mike,203488,31,F-C,83,3.3,0.6,2.0
Atlanta Hawks,1610612737,ATL,Scott,Mike,203118,32,F,79,6.2,1.0,2.7
