name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Brooklyn Nets,1610612751,BKN,Johnson,Joe,2207,7,F-G,79,11.8,4.1,3.9
Brooklyn Nets,1610612751,BKN,Jack,Jarrett,101127,2,G,75,12.8,7.4,4.3
Brooklyn Nets,1610612751,BKN,Bargnani,Andrea,200745,9,C-F,84,6.6,0.4,2.1
Brooklyn Nets,1610612751,BKN,Young,Thaddeus,201152,30,F,80,15.1,1.9,9.0
Brooklyn Nets,1610612751,BKN,Lopez,Brook,201572,11,C,85,20.6,2.0,7.8
Brooklyn Nets,1610612751,BKN,Ellington,Wayne,201961,21,G,76,7.7,1.1,2.3
Brooklyn Nets,1610612751,BKN,Sloan,Donald,202388,15,G,75,7.0,4.4,2.8
Brooklyn Nets,1610612751,BKN,Bogdanovic,Bojan,202711,44,G-F,79,11.2,1.3,3.2
Brooklyn Nets,1610612751,BKN,Robinson,Thomas,203080,41,F,82,4.3,0.6,5.1
Brooklyn Nets,1610612751,BKN,Reed,Willie,203186,33,F-C,83,4.7,0.3,3.1
Brooklyn Nets,1610612751,BKN,Larkin,Shane,203499,0,G,71,7.3,4.4,2.3
Brooklyn Nets,1610612751,BKN,Karasev,Sergey,203508,10,G-F,79,2.4,0.9,1.5
Brooklyn Nets,1610612751,BKN,Brown,Markel,203900,22,G,75,5.9,1.5,2.0
