name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Boston Celtics,1610612738,BOS,Lee,David,101135,42,F-C,81,7.1,1.8,4.3
Boston Celtics,1610612738,BOS,Johnson,Amir,101161,90,F,81,7.3,1.7,6.4
Boston Celtics,1610612738,BOS,Jerebko,Jonas,201973,8,F,82,4.4,0.8,3.7
Boston Celtics,1610612738,BOS,Turner,Evan,202323,11,G-F,78,10.5,4.4,4.9
Boston Celtics,1610612738,BOS,Bradley,Avery,202340,0,G,75,15.2,2.1,2.9
Boston Celtics,1610612738,BOS,Thomas,Isaiah,202738,4,G,69,22.2,6.2,3.0
Boston Celtics,1610612738,BOS,Zeller,Tyler,203092,44,C-F,83,6.1,0.5,3.0
Boston Celtics,1610612738,BOS,Sullinger,Jared,203096,7,F,81,10.3,2.3,8.3
Boston Celtics,1610612738,BOS,Crowder,Jae,203109,99,F,78,14.2,1.8,5.1
Boston Celtics,1610612738,BOS,Olynyk,Kelly,203482,41,C-F,83,10.0,1.5,4.1
Boston Celtics,1610612738,BOS,Smart,Marcus,203935,36,G,76,9.1,3.0,4.2
Boston Celtics,1610612738,BOS,Hunter,RJ,1626154,28,G,77,2.7,0.4,1.0
Boston Celtics,1610612738,BOS,Rozier,Terry,1626179,12,G,73,1.8,0.9,1.6
