name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Charlotte Hornets,1610612766,CHA,Hawes,Spencer,201150,0,F-C,85,6.0,1.9,4.3
Charlotte Hornets,1610612766,CHA,Williams,Marvin,101107,2,F,80,11.7,1.4,6.4
Charlotte Hornets,1610612766,CHA,Lamb,Jeremy,203087,3,G,77,8.8,1.2,3.8
Charlotte Hornets,1610612766,CHA,Batum,Nicolas,201587,5,G-F,80,14.9,5.8,6.1
Charlotte Hornets,1610612766,CHA,Lin,Jeremy,202391,7,G,75,11.7,3.0,3.2
Charlotte Hornets,1610612766,CHA,Walker,Kemba,202689,15,G,72,20.9,5.2,4.4
Charlotte Hornets,1610612766,CHA,Hairston,PJ,203798,19,F-G,78,6.0,0.6,2.7
Charlotte Hornets,1610612766,CHA,Roberts,Brian,203148,22,G,73,4.8,1.3,1.0
Charlotte Hornets,1610612766,CHA,Daniels,Troy,203584,30,G,76,5.6,0.5,1.3
Charlotte Hornets,1610612766,CHA,Zeller,Cody,203469,40,C-F,83,8.7,1.0,6.2
Charlotte Hornets,1610612766,CHA,Kaminsky,Frank,1626163,44,C,84,7.5,1.2,4.1
Charlotte Hornets,1610612766,CHA,Hansbrough,Tyler,201946,50,F,81,2.4,0.2,2.0
Charlotte Hornets,1610612766,CHA,Jefferson,Al,2744,25,C,82,12.0,1.5,6.4
