name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Denver Nuggets,1610612743,DEN,Mudiay,Emmanuel,1626144,0.0,G,75,12.8,5.5,3.4
Denver Nuggets,1610612743,DEN,Arthur,Darrell,201589,0.0,F,81,7.5,1.4,4.2
Denver Nuggets,1610612743,DEN,Nelson,Jameer,2749,1.0,G,72,7.7,4.9,2.9
Denver Nuggets,1610612743,DEN,Miller,Mike,2034,3.0,G-F,80,1.3,0.9,1.1
Denver Nuggets,1610612743,DEN,Foye,Randy,200751,4.0,G,76,6.0,2.1,1.9
Denver Nuggets,1610612743,DEN,Barton,Will,203115,5.0,F-G,77,14.4,2.5,5.8
Denver Nuggets,1610612743,DEN,Kilpatrick,Sean,203930,,G,76,3.4,0.4,0.8
Denver Nuggets,1610612743,DEN,Hickson,JJ,201581,7.0,C-F,81,6.9,0.8,4.4
Denver Nuggets,1610612743,DEN,Gallinari,Danilo,201568,8.0,F,82,19.5,2.5,5.3
Denver Nuggets,1610612743,DEN,Harris,Gary,203914,14.0,G,76,12.3,1.9,2.9
Denver Nuggets,1610612743,DEN,Jokic,Nikola,203999,15.0,C,83,10.0,2.4,7.0
Denver Nuggets,1610612743,DEN,Faried,Kenneth,202702,35.0,F,80,12.5,1.2,8.7
Denver Nuggets,1610612743,DEN,Lauvergne,Joffrey,203530,77.0,C-F,83,7.9,0.9,4.9
