name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Golden State Warriors,1610612744,GSW,Barbosa,Leandro,2571,19,G,75,6.4,1.2,1.7
Golden State Warriors,1610612744,GSW,Livingston,Shaun,2733,34,G,79,6.3,3.0,2.2
Golden State Warriors,1610612744,GSW,Iguodala,Andre,2738,9,G-F,78,7.0,3.4,4.0
Golden State Warriors,1610612744,GSW,Thompson,Jason,201574,1,F-C,83,2.1,0.7,1.9
Golden State Warriors,1610612744,GSW,Rush,Brandon,201575,4,G-F,78,4.2,0.8,2.5
Golden State Warriors,1610612744,GSW,Speights,Marreese,201578,5,F-C,82,7.1,0.8,3.3
Golden State Warriors,1610612744,GSW,Curry,Stephen,201939,30,G,74,30.1,6.7,5.4
Golden State Warriors,1610612744,GSW,Thompson,Klay,202691,11,G,78,22.1,2.1,3.8
Golden State Warriors,1610612744,GSW,Barnes,Harrison,203084,40,F,80,11.7,1.8,4.9
Golden State Warriors,1610612744,GSW,Ezeli,Festus,203105,31,C,83,7.0,0.7,5.6
Golden State Warriors,1610612744,GSW,Green,Draymond,203110,23,F,78,14.0,7.4,9.5
Golden State Warriors,1610612744,GSW,Clark,Ian,203546,21,G,75,3.6,1.0,1.0
Golden State Warriors,1610612744,GSW,McAdoo,James Michael,203949,20,F,81,2.9,0.4,1.4
