name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Houston Rockets,1610612745,HOU,Ariza,Trevor,2772,1,F,80,12.7,2.3,4.5
Houston Rockets,1610612745,HOU,Beverley,Patrick,201976,2,G,74,9.9,3.4,3.5
Houston Rockets,1610612745,HOU,Lawson,Ty,201951,3,G,71,5.8,3.4,1.7
Houston Rockets,1610612745,HOU,Jones,Terrence,203093,6,F,81,8.7,0.8,4.2
Houston Rockets,1610612745,HOU,Thornton,Marcus,201977,10,F-G,76,10.0,1.4,2.4
Houston Rockets,1610612745,HOU,Howard,Dwight,2730,12,C,82,13.7,1.4,11.8
Houston Rockets,1610612745,HOU,Harden,James,201935,13,G,77,29.0,7.5,6.1
Houston Rockets,1610612745,HOU,Motiejunas,Donatas,202700,20,F-C,84,6.2,1.1,2.9
Houston Rockets,1610612745,HOU,Terry,Jason,1891,31,G,74,5.9,1.4,1.1
Houston Rockets,1610612745,HOU,McDaniels,KJ,203909,32,G-F,78,2.4,0.3,1.1
Houston Rockets,1610612745,HOU,Brewer,Corey,201147,33,G-F,81,7.2,1.3,2.4
Houston Rockets,1610612745,HOU,Capela,Clint,203991,15,F-C,82,7.0,0.6,6.4
