name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Los Angeles Clippers,1610612746,LAC,Pierce,Paul,1718,34,F,79,6.1,1.0,2.7
Los Angeles Clippers,1610612746,LAC,Crawford,Jamal,2037,11,G,77,14.2,2.3,1.8
Los Angeles Clippers,1610612746,LAC,Smith,Josh,2746,5,F,81,5.7,1.3,3.9
Los Angeles Clippers,1610612746,LAC,Paul,Chris,101108,3,G,72,19.5,10.0,4.2
Los Angeles Clippers,1610612746,LAC,Redick,JJ,200755,4,G,75,16.3,1.4,1.9
Los Angeles Clippers,1610612746,LAC,Jordan,DeAndre,201599,6,C,83,12.7,1.2,13.8
Los Angeles Clippers,1610612746,LAC,Mbah a Moute,Luc,201601,12,F,80,3.1,0.4,2.3
Los Angeles Clippers,1610612746,LAC,Griffin,Blake,201933,32,F,81,21.4,4.9,8.4
Los Angeles Clippers,1610612746,LAC,Johnson,Wesley,202325,33,G,79,6.9,0.6,3.1
Los Angeles Clippers,1610612746,LAC,Aldrich,Cole,202332,45,C,83,5.5,0.8,4.8
Los Angeles Clippers,1610612746,LAC,Stephenson,Lance,202362,1,F-G,77,4.7,1.4,2.5
Los Angeles Clippers,1610612746,LAC,Rivers,Austin,203085,25,G,76,8.9,1.5,1.9
Los Angeles Clippers,1610612746,LAC,Prigioni,Pablo,203143,9,G,75,2.5,2.2,1.9
