name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Miami Heat,1610612748,MIA,Richardson,Josh,1626196,0,G,78,6.6,1.4,2.1
Miami Heat,1610612748,MIA,Bosh,Chris,2547,1,F,83,19.1,2.4,7.4
Miami Heat,1610612748,MIA,Stoudemire,Amar'e,2405,5,F-C,82,5.8,0.5,4.3
Miami Heat,1610612748,MIA,Johnson,Tyler,204020,8,G,75,8.7,2.2,3.0
Miami Heat,1610612748,MIA,Deng,Luol,2736,9,F,81,12.3,1.9,6.0
Miami Heat,1610612748,MIA,Stokes,Jarnell,203950,12,F-C,81,0.0,0.0,1.0
Miami Heat,1610612748,MIA,Green,Gerald,101123,14,F,79,8.9,0.8,2.4
Miami Heat,1610612748,MIA,Udrih,Beno,2757,19,G,75,5.9,3.3,1.1
Miami Heat,1610612748,MIA,Winslow,Justise,1626159,20,F,78,6.4,1.5,5.2
Miami Heat,1610612748,MIA,Whiteside,Hassan,202355,21,C,84,14.2,0.4,11.8
Miami Heat,1610612748,MIA,Haslem,Udonis,2617,40,F,79,1.6,0.4,2.0
Miami Heat,1610612748,MIA,Wade,Dwyane,2548,3,G,76,19.0,4.6,4.1
Miami Heat,1610612748,MIA,Andersen,Chris,2365,11,F-C,82,1.9,0.4,1.3
