name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Milwaukee Bucks,1610612749,MIL,Mayo,O.J.,201564,3,G,77,7.8,2.9,2.6
Milwaukee Bucks,1610612749,MIL,Carter-Williams,Michael,203487,5,G,77,11.5,5.2,5.1
Milwaukee Bucks,1610612749,MIL,Copeland,Chris,203142,9,F,81,2.1,0.5,0.4
Milwaukee Bucks,1610612749,MIL,Ennis,Tyler,203898,11,G,75,4.5,2.1,1.6
Milwaukee Bucks,1610612749,MIL,Parker,Jabari,203953,12,F,79,14.1,1.7,5.2
Milwaukee Bucks,1610612749,MIL,Monroe,Greg,202328,15,C-F,82,15.3,2.3,8.8
Milwaukee Bucks,1610612749,MIL,Inglis,Damien,203996,17,F,80,1.8,0.5,1.6
Milwaukee Bucks,1610612749,MIL,Plumlee,Miles,203101,18,C,83,5.1,0.3,3.8
Milwaukee Bucks,1610612749,MIL,Vaughn,Rashad,1626173,20,G,78,3.1,0.6,1.3
Milwaukee Bucks,1610612749,MIL,Middleton,Khris,203114,22,G-F,79,18.2,4.2,3.8
Milwaukee Bucks,1610612749,MIL,Henson,John,203089,31,F,81,7.0,0.9,3.9
Milwaukee Bucks,1610612749,MIL,Antetokounmpo,Giannis,203507,34,F,84,16.9,4.3,7.7
Milwaukee Bucks,1610612749,MIL,O'Bryant,Johnny,203948,77,F-C,81,3.0,0.5,2.7
