name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
New York Knicks,1610612752,NYK,Seraphin,Kevin,202338,1,F-C,82,3.9,1.0,2.6
New York Knicks,1610612752,NYK,Galloway,Langston,204038,2,G,73,7.6,2.5,3.5
New York Knicks,1610612752,NYK,Calderon,Jose,101181,3,G,75,7.6,4.1,3.2
New York Knicks,1610612752,NYK,Afflalo,Arron,201167,4,G,77,12.8,2.0,3.7
New York Knicks,1610612752,NYK,Porzingis,Kristaps,204001,6,F-C,87,14.3,1.3,7.3
New York Knicks,1610612752,NYK,Anthony,Carmelo,2546,7,F,79,21.8,4.2,7.7
New York Knicks,1610612752,NYK,Lopez,Robin,201577,8,C,84,10.3,1.4,7.3
New York Knicks,1610612752,NYK,O'Quinn,Kyle,203124,9,F-C,81,4.8,1.1,3.8
New York Knicks,1610612752,NYK,Grant,Jerian,1626170,13,G,76,5.6,2.3,1.9
New York Knicks,1610612752,NYK,Amundson,Lou,200811,17,F,81,1.8,0.4,1.7
New York Knicks,1610612752,NYK,Vujacic,Sasha,2756,18,G,79,4.9,1.4,2.4
New York Knicks,1610612752,NYK,Williams,Derrick,202682,23,F,80,9.3,0.9,3.7
New York Knicks,1610612752,NYK,Thomas,Lance,202498,42,F,80,8.2,0.9,2.2
