name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Oklahoma City Thunder,1610612760,OKC,Collison,Nick,2555,4,F,82,2.1,0.9,2.9
Oklahoma City Thunder,1610612760,OKC,Novak,Steve,200779,6,F,82,2.4,0.0,0.6
Oklahoma City Thunder,1610612760,OKC,Durant,Kevin,201142,35,F,82,28.2,5.0,8.2
Oklahoma City Thunder,1610612760,OKC,Westbrook,Russell,201566,0,G,75,23.5,10.4,7.8
Oklahoma City Thunder,1610612760,OKC,Augustin,D.J.,201571,14,G,71,4.2,1.9,1.3
Oklahoma City Thunder,1610612760,OKC,Ibaka,Serge,201586,9,F,83,12.6,0.8,6.8
Oklahoma City Thunder,1610612760,OKC,Morrow,Anthony,201627,2,G,77,5.6,0.4,0.9
Oklahoma City Thunder,1610612760,OKC,Kanter,Enes,202683,11,C,82,12.7,0.4,8.1
Oklahoma City Thunder,1610612760,OKC,Singler,Kyle,202713,5,F,80,3.4,0.4,2.1
Oklahoma City Thunder,1610612760,OKC,Waiters,Dion,203079,3,G,75,9.8,2.0,2.6
Oklahoma City Thunder,1610612760,OKC,Roberson,Andre,203460,21,G,79,4.8,0.7,3.6
Oklahoma City Thunder,1610612760,OKC,Adams,Steven,203500,12,C,83,8.0,0.8,6.7
Oklahoma City Thunder,1610612760,OKC,Payne,Cameron,1626166,22,G,73,5.0,1.9,1.5
