name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Orlando Magic,1610612753,ORL,Gordon,Aaron,203932,0,F,80,9.2,1.6,6.5
Orlando Magic,1610612753,ORL,Dedmon,Dewayne,203473,3,C,82,4.4,0.2,3.9
Orlando Magic,1610612753,ORL,Payton,Elfrid,203901,4,G,75,10.7,6.4,3.6
Orlando Magic,1610612753,ORL,Oladipo,Victor,203506,5,G,75,16.0,3.9,4.8
Orlando Magic,1610612753,ORL,Frye,Channing,101112,8,F,84,5.2,1.0,3.2
Orlando Magic,1610612753,ORL,Fournier,Evan,203095,10,F,78,15.4,2.7,2.8
Orlando Magic,1610612753,ORL,Marble,Devyn,203906,11,F,78,2.1,0.4,1.4
Orlando Magic,1610612753,ORL,Harris,Tobias,202699,12,F,79,13.7,2.0,7.0
Orlando Magic,1610612753,ORL,Napier,Shabazz,203894,13,G,72,3.7,1.8,1.0
Orlando Magic,1610612753,ORL,Smith,Jason,201160,14,F-C,84,7.2,0.8,2.9
Orlando Magic,1610612753,ORL,Hezonja,Mario,1626209,23,G-F,80,6.1,1.4,2.2
Orlando Magic,1610612753,ORL,Watson,CJ,201228,32,G,74,4.3,2.7,2.0
Orlando Magic,1610612753,ORL,Nicholson,Andrew,203094,44,F,81,6.9,0.4,3.6
