name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Phoenix Suns,1610612756,PHX,Booker,Devin,1626164,1,G,77,13.8,2.6,2.5
Phoenix Suns,1610612756,PHX,Bledsoe,Eric,202339,2,G,73,20.4,6.1,4.0
Phoenix Suns,1610612756,PHX,Knight,Brandon,202688,3,G,74,19.6,5.1,3.9
Phoenix Suns,1610612756,PHX,Chandler,Tyson,2199,4,C,84,7.2,1.0,8.7
Phoenix Suns,1610612756,PHX,Weems,Sonny,201603,10,G-F,78,2.5,1.3,1.1
Phoenix Suns,1610612756,PHX,Warren,TJ,203933,12,F,80,11.0,0.9,3.1
Phoenix Suns,1610612756,PHX,Price,Ronnie,101179,14,G,74,5.3,2.4,1.6
Phoenix Suns,1610612756,PHX,Tucker,PJ,200782,17,F,77,8.0,2.2,6.2
Phoenix Suns,1610612756,PHX,Goodwin,Archie,203462,20,G,77,8.9,2.1,2.5
Phoenix Suns,1610612756,PHX,Len,Alex,203458,21,C,86,9.0,1.2,7.6
Phoenix Suns,1610612756,PHX,Leuer,Jon,202720,30,F,82,8.5,1.1,5.6
Phoenix Suns,1610612756,PHX,Teletovic,Mirza,203141,35,F,81,12.2,1.1,3.8
Phoenix Suns,1610612756,PHX,Jefferson,Cory,203928,55,F,81,2.8,0.0,2.0
