name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Portland Trail Blazers,1610612757,POR,Kaman,Chris,2549,35,C,84,2.8,0.7,1.5
Portland Trail Blazers,1610612757,POR,Aminu,Al-Farouq,202329,8,F,80,10.2,1.7,6.1
Portland Trail Blazers,1610612757,POR,Davis,Ed,202334,17,F,81,6.5,1.1,7.4
Portland Trail Blazers,1610612757,POR,Lillard,Damian,203081,0,G,74,25.1,6.8,4.0
Portland Trail Blazers,1610612757,POR,Leonard,Meyers,203086,11,F-C,84,8.4,1.5,5.1
Portland Trail Blazers,1610612757,POR,Harkless,Maurice,203090,4,F,79,6.4,0.9,3.6
Portland Trail Blazers,1610612757,POR,Crabbe,Allen,203459,23,F,77,10.3,1.2,2.7
Portland Trail Blazers,1610612757,POR,McCollum,CJ,203468,3,G,75,20.8,4.3,3.2
Portland Trail Blazers,1610612757,POR,Plumlee,Mason,203486,24,C-F,84,9.1,2.8,7.7
Portland Trail Blazers,1610612757,POR,Vonleh,Noah,203943,21,F,82,3.6,0.4,3.9
Portland Trail Blazers,1610612757,POR,Frazier,Tim,204025,10,G,72,1.5,1.2,1.1
Portland Trail Blazers,1610612757,POR,Alexander,Cliff,1626146,34,F,80,1.3,0.0,0.8
Portland Trail Blazers,1610612757,POR,Connaughton,Pat,1626192,5,G,77,1.1,0.3,0.9
