name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Sacramento Kings,1610612758,SAC,Dukan,Duje,1626251,26,F,81,6.0,1.0,4.0
Sacramento Kings,1610612758,SAC,Cousins,DeMarcus,202326,15,F-C,82,26.9,3.3,11.5
Sacramento Kings,1610612758,SAC,Anderson,James,202341,5,G-F,78,3.5,0.8,1.7
Sacramento Kings,1610612758,SAC,Casspi,Omri,201956,18,F,81,11.8,1.4,5.9
Sacramento Kings,1610612758,SAC,Koufos,Kosta,201585,41,C,84,6.8,0.4,5.4
Sacramento Kings,1610612758,SAC,Collison,Darren,201954,7,G,72,14.0,4.3,2.3
Sacramento Kings,1610612758,SAC,Curry,Seth,203552,30,G,73,6.8,1.5,1.4
Sacramento Kings,1610612758,SAC,Belinelli,Marco,201158,3,G-F,77,10.2,1.9,1.7
Sacramento Kings,1610612758,SAC,Gay,Rudy,200752,8,F,80,17.2,1.7,6.5
Sacramento Kings,1610612758,SAC,Rondo,Rajon,200765,9,G,73,11.9,11.7,6.0
Sacramento Kings,1610612758,SAC,Acy,Quincy,203112,13,F,79,5.2,0.5,3.2
Sacramento Kings,1610612758,SAC,Butler,Caron,2406,31,F,79,3.7,0.6,1.3
Sacramento Kings,1610612758,SAC,McLemore,Ben,203463,23,G,75,7.8,1.2,2.2
