name,teamid,abbreviation,lastname,firstname,playerid,jersey,position,height,points,assists,rebounds
Utah Jazz,1610612762,UTA,Ingles,Joe,204060,2,F,81,4.2,1.2,1.9
Utah Jazz,1610612762,UTA,Burke,Trey,203504,3,G,72,10.6,2.3,1.8
Utah Jazz,1610612762,UTA,Hood,Rodney,203918,5,G-F,80,14.5,2.7,3.4
Utah Jazz,1610612762,UTA,Burks,Alec,202692,10,G,78,13.3,2.0,3.5
Utah Jazz,1610612762,UTA,Millsap,Elijah,202407,13,G-F,79,1.8,1.0,1.8
Utah Jazz,1610612762,UTA,Favors,Derrick,202324,15,F-C,81,16.4,1.5,8.1
Utah Jazz,1610612762,UTA,Hayward,Gordon,202330,20,G-F,79,19.7,3.7,5.0
Utah Jazz,1610612762,UTA,Pleiss,Tibor,202353,21,C,87,2.0,0.2,1.3
Utah Jazz,1610612762,UTA,Johnson,Chris,203187,23,F,78,2.9,0.6,1.9
Utah Jazz,1610612762,UTA,Neto,Raul,203526,25,G,74,5.9,2.1,1.5
Utah Jazz,1610612762,UTA,Gobert,Rudy,203497,27,C,85,9.1,1.5,11.0
Utah Jazz,1610612762,UTA,Booker,Trevor,202344,33,F,80,5.9,1.1,5.7
Utah Jazz,1610612762,UTA,Lyles,Trey,1626168,41,F,81,6.1,0.7,3.7
